,doc_id,query,press,title,ex_url,in_url,content,is_relation,master,time_written,n_comments
0,공군 황제202006120001,공군 황제,조선비즈,"[단독] 황제복무 논란, 공군 감찰 대상은 나이스그룹 부회장 아들",https://biz.chosun.com/site/data/html_dir/2020/06/12/2020061203761.html?utm_source=naver&utm_medium=original&utm_campaign=biz,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=366&aid=0000538020,"
			황제복무 논란이 된 공군 부대 병사가 나이스그룹의 부회장인 최모씨 아들인 것으로 알려졌다. 


원본보기

조선일보DB12일 군 관계자에 따르면 공군은 나이스그룹 부회장 아들인 최모 병사가 근무하는 부대를 대상으로 감찰에 들어갔다. 공군이 감찰에 들어간 이유는 이날 청와대 국민청원 게시판에 올라온 제보 글 때문이다. 청와대 국민청원 게시판에 따르면 자신을 서울 금천구 지역의 한 공군 부대 부사관이라고 밝힌 한 군인이 ""우리 부대에서 부모의 재력 때문에 특정 병사에게 특혜를 주고 이를 묵인 방조해오는 등의 비위 행위를 폭로하려고 한다""는 청원을 올렸다. 해당 부대는 공군 3여단인 것으로 알려졌다. 청원자인 공군 부사관은 ""해당 병사가 부대에 전입을 왔을 때 병사들과 부사관들 사이에서 해당 병사의 아버지가 모 대기업 회장이라는 얘기가 무성했다""고 했다. 그는 또 ""최근까지 해당 병사의 부모는 부사관들에게 아들의 병영생활 문제에 개입해달라고 자주 전화를 걸곤 한다""고 했다.청원자는 해당 병사에 대해 △빨래·음료수 배달 관련 부사관 심부름 △1인 생활관 사용 △무단 외출 등의 의혹을 제기했다.


원본보기

청와대 청원글 캡처.현재 A씨가 올린 국민청원은 검색이 되지 않는 상태다. 공군은 정확한 사실관계를 감찰을 통해 확인 중이다.나이스그룹(나이스홀딩스)은 금융인프라 기업집단이다. 나이스신용평가 등 총 26개 계열사를 갖고 있다.[심민관 기자 bluedragon@chosunbiz.com]	[네이버 메인에서 조선비즈 받아보기]	[조선비즈 바로가기] 	chosunbiz.com
",1,공군 황제202006120001,2020-06-12 19:05:05,
1,공군 황제202006120002,공군 황제,JTBC,공군 '황제복무' 병사 논란…신용평가 업체 부회장 아들,http://news.jtbc.joins.com/article/article.aspx?news_id=NB11955051,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=437&aid=0000240384,"
[앵커]서울 금천구에 있는 한 공군부대에서 부모의 재력 때문에 특정 병사에게 부대가 특혜를 줬다는 의혹이 제기됐습니다. 해당 병사는 모 신용평가업체 부회장의 아들인 것으로 확인됐습니다. 취재기자 연결합니다.김민관 기자, 해당 병사가 사회적 배경 덕분에 특혜를 받았다는 의혹이 있죠?[기자]그렇습니다. 복수의 군 관계자에 따르면 해당 병사는 모 신용정보기관 부회장의 아들인 것으로 확인됐습니다.[앵커]어떤 혐의를 받고 있습니까?[기자]병사는 냉방병 등 질환 때문에 1인실을 사용했던 것으로 조사됐습니다.또한 부사관들에게 세탁물 심부름을 시켰던 것은 감찰 과정에서 확인이 된 것으로 알려졌습니다.[앵커]공군본부가 감찰을 시작했다고 밝혔는데요 어떻게 진행 중인가요.[기자]현재 군사경찰 감찰단이 함께 조사를 진행 중인 것으로 확인됐습니다.공군본부는 최대한 빠르게 조사를 진행하겠다고 밝혔습니다.[앵커]이 내용은 국민청원 게시판에도 올라온 내용들이죠?[기자]네 그렇습니다. 해당 부대 한 부사관은 청와대 국민청원 게시판에 아버지가 모 대기업 회장이라는 얘기가 있던 병사가, 1인 생활관을 쓰면서 부사관에게 빨래와 음료 심부름을 시키고 무단 외출을 하는 등의 일탈 행위를 했지만 부대가 이를 묵인하고 있다고 주장했습니다.[앵커]네, 김민관 기자였습니다.김민관 기자 (kim.minkwan@jtbc.co.kr)▶나도 모르게 내 돈이…토스 '결제 사고' 논란▶시청자와 함께! JTBC 뉴스 제보하기Copyright by JTBC(http://jtbc.joins.com) All Rights Reserved. 무단 전재 및 재배포 금지
		",1,공군 황제202006120001,2020-06-12 21:07:07,
2,공군 황제202006120003,공군 황제,데일리안,"공군 간부의 폭로 ""회장님 아들은 '황제' 군생활 중""",https://www.dailian.co.kr/news/view/897331?sc=Naver,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=119&aid=0002407845,"



원본보기

ⓒ게티이미지뱅크서울의 한 공군 부대에서 부모의 재력으로 각종 특혜를 누리는 '황제 병사'가 있다는 내용의 청와대 국민청원이 올라왔다. 공군은 제보 내용의 사실 여부를 확인하기 위해 감찰에 착수했다.한 청원인은 11일 '금천구 공군 부대의 비위 행위를 폭로합니다'라는 제목의 글을 청원 게시판에 올렸다. 그는 자신을 20년간 복부 중인 부사관이라고 소개하면서 ""특정 병사에게 특혜를 주고 이를 묵인·방조하는 등의 비위 행위를 폭로하려 한다""고 밝혔다.청원인은 ""병사 A씨의 아버지가 모 대기업 회장이라는 소문은 전입 초기 때부터 돌았다""면서 ""A씨 부모는 최근까지도 부사관 선후배들에게 아들의 병영생활 문제에 개입해달라고 밤낮으로 전화를 한다고 한다""고 말했다.이어 ""부사관 후배와 병사들로부터 'A씨가 매주 토요일 아침 빨래를 부대 밖으로 반출해서 가족 비서에게 세탁을 해오게 하고, 빨래와 음용수를 다시 받아오는 과정에 부사관을 심부름시킨다'는 증언을 들었다""고 전했다.그러면서 ""A씨는 생활관원들과의 불화를 이유로 1인 생활관을 쓰고 있다""며 ""군생활 20년 동안 생활관을 혼자 쓰는 것은 처음 본다""고 주장했다.청원인은 ""국군수도통합병원 진료는 오후 5시30분에 종료된다. 그런데 A씨에게 이곳 방문 목적으로 오후 9시30분까지 외출증을 끊어주는 것이 이해되지 않는다""면서 ""A씨는 수시로 가족과 불법면회를 하기도 했다""고 말했다.아울러 ""지난해 생활관 샤워실을 리모델링 했을 때도 ‘A씨 부모가 전화를 해서 부탁을 했다고 공병반 간부가 말하더라’는 이야기가 돌았다""며 ""(의혹들 모두) 병사들의 증언뿐이라 구체적인 감찰이 필요하다""고 강조했다.공군 방공유도탄사령부는 12일 이와 관련 서울 금천구의 예하 부대에서 제기된 의혹에 대해 감찰 조사를 시작했다고 밝혔다. 공군 관계자는 ""정확한 사실관계를 감찰을 통해 확인 중""이라고 말했다.데일리안 이유림 기자 (lovesome@dailian.co.kr)ⓒ (주)데일리안 - 무단전재, 변형, 무단배포 금지
		",1,공군 황제202006120001,2020-06-12 19:39:04,
3,공군 황제202006120004,공군 황제,에너지경제,서울 공군부대서 재력가 아들 '황제복무' 논란,http://www.ekn.kr/news/article.html?no=505023,,,1,공군 황제202006120001,2020.06.12,
4,공군 황제202006120005,공군 황제,OBS,대기업 회장 아들 황제 군 생활?…공군 감사 착수,http://www.obsnews.co.kr/news/articleView.html?idxno=1219459,,,1,공군 황제202006120001,2020.06.12,
5,공군 황제202006120006,공군 황제,채널A,"공군, ‘황제 군생활’ 감찰 착수…아버지가 대기업 회장?",http://www.ichannela.com/news/main/news_detailPage.do?publishId=000000207000,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=449&aid=0000193171,"
 서울 모 공군부대 소속 병사가 1인실에서 ‘황제 군생활'을 한다는 국민청원이 올라와 군 당국이 발칵  뒤집혔습니다.   아버지가 대기업 회장이라는 소문도 돌았다는 내용이 있어서, 공군이 즉각 감찰조사에 들어갔는데요.   김철중 기자입니다.  [리포트] 서울 금천구의 한 공군부대 소속 부사관이라고 자신을 소개한 사람이 올린 청와대 국민청원입니다.   서울 지역 모 공군부대 소속 병사가 부사관에게 빨래와 음용수 심부름을 시키거나 외출증 없이 근무지를 이탈했다고 주장했습니다.   병영 내 불화를 이유로 '1인실 황제 생활관'을 사용하고 있다고도 했습니다.  청원글에는 ""해당 병사의 부모가 밤낮으로 부사관 선후배들에게 아들의 병영생활 문제에 개입해달라고 전화를 했다""는 내용도 있습니다.   ""해당 병사의 부대 전입 때부터 아버지가 모 대기업 회장이라는 얘기가 돌았다""는 얘기도 적혀있습니다.   청와대 청원 내용이 알려자자 해당 부대의 상급부대인 방공유도탄사령부는 감사를 시작했습니다.   하지만 얼마 지나지 않아 ""상황의 엄중함을 고려했다""며 공군본부 주관으로 감사 수위를 올렸습니다.   공군 관계자는 ""조사 결과가 나오면 법과 규정에 따라 엄정하게 조치할 예정""이라고 밝혔습니다.  채널A뉴스 김철중입니다.   영상편집 : 박형기▶ '채널A' LIVE 무료 보기▶ 네이버에서 '채널A' 구독하기▶[기사 보기][단독]“‘묻지마 폭행’ 또 당하면 신고해라” 황당한 조언꿈을 담는 캔버스 채널A  ⓒCHANNEL A(www.ichannela.com), 무단 전재 및 재배포 금지
		",1,공군 황제202006120001,2020-06-12 20:45:45,
6,공군 황제202006120007,공군 황제,아시아타임즈,1인 생활관·무단 외출 등 '황제 병사' 의혹...공군 감찰 중,https://www.asiatime.co.kr/news/newsview.php?ncode=1065614191517328,,,1,공군 황제202006120001,2020.06.12,
7,공군 황제202006120008,공군 황제,한국면세뉴스,'황제복무' 공군 병사는 신용평가업체 나이스홀딩스 부회장 아들 ,http://www.kdfnews.com/news/articleView.html?idxno=48826,,,1,공군 황제202006120001,2020.06.12,
8,공군 황제202006120009,공군 황제,한국일보,[단독] “1인 생활관 쓴다더라”… 서울 모 공군부대 ‘황제 병사’ 의혹,http://www.hankookilbo.com/news/npath/202006121393774487?did=NA,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=469&aid=0000505443,"



원본보기

지난달 5일 휴가 나온 군 장병들이 8일 서울역 국군장병라운지(TMO)에서 열차표 발권을 위해 줄 서서 기다리고 있다. 위 사진은 해당기사와 무관함. 뉴스1서울 지역의 한 공군부대에서 ‘황제 병사’ 의혹이 제기돼 공군이 사실 확인을 위해 감사를 진행하고 있는 것으로 확인됐다. 해당 병사는 외출증 없이 무단으로 병영을 이탈하거나 병영 내 불화로 ‘1인 생활관’을 사용하고 있다는 의혹이 제기됐다. 12일 청와대 국민청원 게시판에 따르면 자신을 서울 금천구 지역의 한 공군 부대 부사관이라고 밝힌 한 군인은 “우리 부대에서 부모의 재력 때문에 특정 병사에게 특혜를 주고 이를 묵인 방조해오는 등의 비위 행위를 폭로하려고 한다”는 청원을 올렸다. 청원에는 “해당 병사가 부대에 전입을 왔을 때 병사들과 부사관 선배들 사이에서 해당 병사의 아버지가 모 대기업 회장이라는 얘기가 돌았다”고 적혔다. 청원을 제기한 부사관은 또 “최근까지도 해당 병사의 부모는 밤낮으로 부사관 선후배들에게 아들의 병영생활 문제에 개입해달라고 전화를 한다고 한다”고 했다.청원을 올린 부사관은 △ 해당 병사가 빨래와 음용수 배달을 부사관에게 사역시킨 사례 △ 1인실 황제 생활관 사용 △ 외출증 없이 근무지 이탈 등의 의혹을 제기했다. 부사관은 “처음에 부대에 ‘병사 빨래랑 물 배달을 재정처 아무개 부사관이 하더라’ 하는 소문을 들었을 때 믿지 않았다”며 “이를 수차례 목격했다는 부사관 후배와 병사들의 말을 듣고는 생각이 바뀌었다”고 했다. 그는 ""증언의 요지는 ‘해당 병사가 매주 토요일 아침에 빨래를 부대 밖으로 반출해서 가족 비서에게 세탁을 해오게 하고 빨래와 음용수를 받아오는 과정에 부사관을 사역시키더라’는 것”이라고 했다. 이어 “우리 부대 참모 사이에서는 ‘이 사역에 간부를 동원하는 일을 아예 양성화하자’는 얘기까지 돌고 있다”고 주장했다.또 “병사와 관련된 부사관 선후배의 말에 따르면 해당 병사는 생활관원들과의 불화를 이유로 1인실 ‘황제 생활관’을 쓰고 있다고 한다”며 “에어컨 온도가 너무 낮아서 냉방병에 걸렸기 때문이라는데 해당 병사는 팬티 바람으로 생활관에서 지낸다고 한다”고 주장했다. 탈영 의혹도 제기했다. 그는 ‘부대 체육대회 때 외진 외출증 없이 탈영을 했다’, ‘해당 병사가 자꾸 외진 나가서 아빠랑 밥 먹었다는 얘기를 한다’ 등 부대 내 전언을 소개했다. 그러면서 “권한 밖의 일이라 직접 확인하지는 못했지만 후배가 말해준 것과 병사들의 증언이 꽤나 구체적이라 감찰해봐야 한다고 생각한다”고 지적했다. 이외에도 △생활관 샤워실 공사를 병사 부모가 지시했다는 의혹 △현 부대로 전입돼 온 배경도 지적했다. 이 부사관은 “재벌 부모가 밤마다 부대에 전화를 하고, 부모의 재력 때문에 온갖 특혜를 손에 쥐어다 주고 이를 어떠한 간부도 문제 제기하지 않고 청탁에 응하는 그 모습을 부사관 선후배들에게 미안해서라도 가만 보고 있을 수는 없다”고 말했다. 청와대 청원 내용에 대해 공군 관계자는 “정확한 사실관계를 파악하기 위해 청원이 제기된 이날부터 해당 부대의 상급부대인 방공유도탄사령부에서 감사를 시작했다”고 말했다.김현빈 기자 hbkim@hankookilbo.com안아람 기자 oneshot@hankookilbo.com▶[360도뷰]고문을 위한 완벽한 건축물 '남영동 대공분실'은 어떻게 생겼나 ▶뉴;잼을 보면 뉴스가 재밌다 [뉴스레터 구독하기] ▶한국일보닷컴 바로가기
",1,공군 황제202006120009,2020-06-12 13:36:09,
9,공군 황제202006120010,공군 황제,매일신문,"공군 '황제병사' 의혹 ""부사관이 빨래·무단 외출·1인 생활관""",https://news.imaeil.com/Society/2020061218161854401,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=088&aid=0000651288,"



원본보기

'금천구 공군 부대의 비위 행위를 폭로합니다.' 청와대 국민청원서울시 금천구 소재 한 공군 부대에서 한 병사가 특혜를 받으며 생활하고 있다는 의혹이 제기돼 공군이 감찰에 들어갔다.이 의혹 제기는 어제인 11일 청와대 국민청원에도 올라와 네티즌들의 시선을 끌고 있다.'금천구 공군 부대의 비위 행위를 폭로합니다.'라는 제목의 글에서 글쓴이는 자신을 금수저 병사의 복무지와 같은 부대에 근무하고 있는 부사관이라고 밝혔다.이 부사관은 ""부대가 (병사)부모의 재력 때문에 특혜를 주고 있다. 이를 묵인 및 방조해 온 비위 행위를 폭로한다""고 밝혔다.해당 부사관은 이 병사의 특혜와 관련해 ▶부사관이 빨래와 음용수(물) 배달 ▶생활관원들과의 불화를 이유로 혼자 '황제 생활관' 사용 ▶무단 외출, 가족과 불법 면회 ▶부모 지시에 따른 생활관 샤워실 공사 ▶TO(정원)가 없음에도 부대 배속 등의 의혹을 제기했다.이 부사관은 ""재벌 부모가 밤마다 부대에 전화를 하고, 부모의 재력 때문에 온갖 특혜를 손에 쥐어다 주고, 이를 어떠한 간부도 문제 제기하지 않고 청탁에 응하는 그 모습을 부사관 선후배들에게 미안해서라도 가만 보고 있을 수는 없다""고 의혹을 제기한 이유를 밝히며 ""부디 이번 감찰은 국방부 주관으로 시행해 올곧은 방향으로 우리 부대가 바뀌길 바란다. 직(직업)을 걸고 정말 간곡히 부탁드린다""고 밝혔다.이와 관련해 공군 측은 ""정확한 사실 관계를 파악하기 위해 감찰을 진행하고 있다""고 밝혔다.해당 부사관이 제기한 의혹이 사실일 경우, 해당 병사는 물론, 이 병사에 대한 특혜를 알선, 지시, 묵인 등을 한 관계자들이 줄줄이 감찰 및 처벌을 받게 될 것으로 보인다.※다음은 청원글 전문.저는 20년 정도 공군에서 복무 중인 부사관입니다. 제가 근무하고 있는 부대는 서울 금천구에 위치해 있고, 우리 부대는 금천구에 부지를 매각하는 것을 차일피일 미루고 있습니다. 이 사건이 폭로되었을 때 저희 부대가 도심형 부대로라도 금천구에 머무르지 못할 것 같다는 생각이 듭니다. 지휘관 분들께 죄송합니다.저는 오늘 우리 부대에서 부모의 재력 때문에 특정 병사에게 특혜를 주고 이를 묵인 방조해오는 등의 비위 행위를 폭로하려고 합니다. 제가 이를 폭로하려는 이유는 우리 부사관 선후배들이 더는 부당한 압력에 휘둘리지 않고 당당하게 직업군인으로서 복무하기 바라는 마음, 그리고 우리 부대가 자정하려는 의지도 능력도 없다는 판단 때문입니다. 병사들에게서 돌고 있는 소문 중에 일부 사실을 확인했을 때 저는 군생할이 전부 부정당하는 것만 같은 참담함을 느꼈습니다. 그 의혹 중에 감찰로 인해 드러날 사실이 어디까지인지 상상조차 못할 정도였습니다. 국민 여러분, 그리고 청와대에서 우리 부대가 잘못한 부분을 고쳐나갈 수 있도록 관심을 가져주셨으면 합니다. 의혹의 내용과 제가 확인한 사실을 말씀드리겠습니다.먼저 이 의혹들을 이해하시기 위해서는 해당 병사에 대한 설명이 필요할 것 같습니다. 해당 병사가 부대에 전입을 왔을 때 병사들과 부사관 선배들 사이에서 해당 병사의 아버지가 모 대기업 회장이라는 얘기가 돌았습니다. 아마 특혜를 준 것도 이를 묵인 방조한 것도 모두 부모의 재력 때문이 아닌가 생각합니다. 최근까지도 해당 병사의 부모는 밤낮으로 부사관 선후배들에게 아들의 병영생활 문제에 개입해달라고 전화를 한다고 합니다.1. 병사가 빨래와 음용수 배달 등 부사관을 사역시킨 사실처음에 부대에 ""병사 빨래랑 물 배달을 재정처 아무개 부사관이 하더라."" 하는 소문을 들었을 때 저는 믿지 않았습니다. 그런데 이를 수차례 목격했다는 부사관 후배와 병사들의 말을 듣고는 생각이 바뀌었습니다. 목격했다는 사람이 한둘이 아니기도 했고, 거짓말이라기엔 증언이 구체적이었기 때문입니다. 증언의 요지는 ""해당 병사가 매주 토요일 아침에 빨래를 부대 밖으로 반출해서 가족 비서에게 세탁을 해오게 하고 빨래와 음용수를 받아오는 과정에 부사관을 사역시키더라.""는 것이었습니다. 정말 부사관단의 수치가 아닐 수 없습니다. 부모의 청탁에 못 이겨 사역에 동원되었다는 것은 별론으로 하더라도, 해당 시기가 코로나19로 인해 병사의 출타가 제한된 시기기 때문입니다. 간부들 또한 최대한 외부인과의 불필요한 접촉을 하지 말라는 지시에 따르고 있던 시기였습니다. 이 시기에 해당 병사의 빨래와 물을 배달해주기 위해서 외부인인 비서와 매주 만났다는 사실이 이해가 되지 않습니다. 우리 부대 참모 사이에서는 ""이 사역에 간부를 동원하는 일을 아예 양성화하자""는 얘기까지 돌고 있습니다.2. ""황제 생활관""병사와 관련된 부사관 선후배의 말에 따르면, 해당 병사는 생활관원들과의 불화를 이유로 1인실 ""황제 생활관""을 쓰고 있다고 합니다. 해당 병사는 에어컨 온도가 너무 낮아서 냉방병에 걸렸기 때문이라는데 해당 병사는 팬티 바람으로 생활관에서 지낸다고 합니다. 제가 군생활을 20년 동안 하면서 생활관을 혼자 쓰는 건 처음 봅니다. 다른 병사들은 같이 살기 싫은 생활관원들이 있어도 결코 1인실 생활관은 쓸 수조차 없다고 합니다. 또 우리 부대는 이것이 문제가 될 줄 알았는지 조기전역한 병사를 생활관 명부에 넣어두었다고 합니다만, 실상은 1인실 ""황제 생활관""임을 부정할 순 없습니다.3. 탈영 의혹6월 초부터 병사들이 사무실에서 해당 병사의 외부진료와 관련된 애기를 하기 시작했습니다. 4/29 부대 체육대회 때 외진 외출증 없이 탈영을 했다."", ""해당 병사가 자꾸 외진 나가서 아빠랑 밥먹었다는 얘기를 한다."", ""수도통합병원을 가는데 외출 시간이 08:30-21:30이다."" 하는 것들이었습니다. 저는 우리 부대 주임원사가 아니기 때문에 외출증을 결재받았는지 여부는 알 수 없습니다. 그럼에도 꽤 오랜 시간 우리 부대에서 근무한 제가 볼 때도, 수도통합병원이 17:30에 닫는데 21:30까지 외출증은 끊어준 것과 외진을 목적으로 외출을 해놓고 수시로 가족과 불법면회를 한다는 것은 이해가 가지 않습니다. 제 권한 밖의 일이라 직접 확인하지는 못했지만 후배가 말해준 것과 병사들의 증언이 돼나 구체적이라 감찰해봐야 한다고 생각합니다.4. 생활관 샤워실 공사를 부모가 지시했다는 의혹우리 부대는 작년에 병사 생활관 샤워실을 리모델링했습니다. 그런데 당시 병사들 사이에서 ""해당 병사 부모가 전화를 해서 부탁을 했다고 공병반 간부가 말하더라."" 하는 얘기가 돌았습니다. 처음엔 전혀 믿지 않았습니다만, 담당했던 선배의 말씀 때문에 이 문제를 제기할 수 있었습니다. ""예산은 1년 전에 쓸 데가 정해지는 거고, 급하면 반기 전에라도 말하라고 문서도 내려왔거든? 근데 예정에 없는 예산을 신청한 지 며칠만에 예산 배정, 견적, 계약체걸 이게 착착 되는 거야. 이상하더라."" 하는 말씀이었습니다. 또한 병사들 사이에서 도는 ""부모초청행사 때 보고 더러워서 전화했다더라."" 하는 얘기도 넌지시 여쭈어보니, 선배께서는 ""찾아봤는데 예산 신청할 때 부모초청행사 여론 고려했다는 내용이 있더라고."" 말씀해주셨습니다. 이 의혹은 감찰해보면 확인할 수 있는 문제라고 생각합니다.5. 재정처 병사 TO 의혹마지막으로 이 부대에 해당 병사가 전입 온 것부터 이상하다는 말씀을 드리려고 합니다. 제가 듣기론 재정처는 과거도 지금도 편제가 1명입니다. 그런데 선임병사의 전역이 한참 남은 상태에서 공군 본부에서 배속을 보냈다고 합니다. 당시 상황을 생각해보면 정비대 이전 때문에 정비대 재정 특기 병사도 받아야 한다는 얘기가 있었던지라 해당 병사가 서울 한복판에 위치한 부대로 전입 올 이유가 없다고 생각됩니다. 이 부분이 제가 가장 두려워하는 부분입니다. 제가 내부고발자로 색출당했을 때 대체 어디서부터 압력이 내려오는 것인지 가늠하기조차 어렵습니다.우리 부대는 올해 초에도 청와대 국민청원에 언급된 적이 있습니다. 당시 공군 본부에서 청원이 등록되기 하루 전에 우리 부대로 언질을 줬습니다. 미리 대비하라는 뜻이었다고 생각합니다. 비상 출근하신 장교분들은 아실 겁니다. 또 선배분들의 말에 따르면 감찰실에서는 병사들에게 설문조사에 '기명'으로 임하게 했고 설문조사 내용을 감찰대상자에게 전부 보고했다고 합니다.병사들은 두려워합니다. 관련 의혹이 어디까지 사실인지 확인하려던 병사, 지속적으로 해당 병사에게 경고하던 병사, 외출증을 결재하는 선후배들과 늘 고생하던 초병들 모두가 두려워하고 있습니다. 이 일을 단지 군내 구조적인, 제도적인 문제로 치부하기 위해 현재도 우리 부대 감찰실에서 예하 포대 유사사례(외진 외출증)를 찾고 있기 때문입니다. 특혜란 특혜는 죄다 해당 병사가 받고 일부 부사관만 가담했는데, 떳떳한 장병까지 벌집 쑤시듯 감찰하는 게 온당합니까?저도 두렵습니다. 저는 장교보다 힘없는 '부사관'을 '직업'으로 군에 복무를 하고 있기 때문입니다. 또 저번 감찰 때 우리 부대는 내부고발자를 색출하려고 전역한 병사들의 인사자력까지 인쇄해갔기 때문입니다. 그럼에도 좌시할 수 없는 문제입니다. 재벌 부모가 밤마다 부대에 전화를 하고, 부모의 재력 때문에 온갖 특혜를 손에 쥐어다 주고, 이를 어떠한 간부도 문제 제기하지 않고 청탁에 응하는 그 모습을 부사관 선후배들에게 미안해서라도 가만 보고 있을 수는 없습니다. 부디 이번 감찰은 국방부 주관으로 시행해서 올곧은 방향으로 우리 부대가 바뀌기 바랍니다. 직을 걸고 정말 간곡히 부탁드립니다.황희진 기자 hhj@imaeil.com▶ 네이버에서 매일신문 구독하기▶ 매일신문 네이버TV 바로가기ⓒ매일신문 - www.imaeil.com
",1,공군 황제202006120009,2020-06-12 18:17:03,
