press,title,url,content,time,polar_sum,tot,sent_score,label,x,y,top3
경향신문,"미 국방장관 “시위 진압, 군 투입은 최후 수단” 트럼프에 반기",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=104&oid=032&aid=0003013161,"
브리핑 자청해 “폭동진압법 반대, 주방위군 적합…시위 지지”매티스 전 국방도 “분열 조장”…트럼프 ‘군 투입’ 한발 물러나[경향신문] 


원본보기

뉴욕 한복판…경찰에 연행되는 시위 참가자 3일(현지시간) 미국 뉴욕의 맨해튼에서 열린 인종차별 반대 시위에 참여한 시민이 야간 통행금지령을 어겼다는 이유로 경찰에 체포되고 있다. 뉴욕 | AP연합뉴스마크 에스퍼 미국 국방장관(사진)은 3일(현지시간) “법 집행에 병력을 동원하는 선택은 최후의 수단”이라며 “우리는 지금 그런 상황에 있지 않다”고 말했다. 도널드 트럼프 대통령은 지난 1일 백악관 회견에서 “민간과 군을 포함한 연방 차원의 가용한 모든 자원을 동원할 것”이라고 했는데, 이 방침에 정면으로 반기를 든 것이다. 트럼프 행정부 초대 국방장관을 지낸 제임스 매티스도 트럼프 대통령이 미국을 분열시키고 있다고 비판했다. 트럼프 대통령이 임명한 전·현직 국방장관이 모두 반기를 든 것이다. 에스퍼 장관은 펜타곤에서 예정에 없던 TV 생중계 브리핑을 자청해 “나는 폭동진압법 발동을 지지하지 않는다”며 이같이 말했다. 그는 “민간 당국을 국내에서 보조하는 데는 주방위군이 가장 적합하다고 믿고 있다”고 했다. 또 “미국 군대는 수정헌법 1조 집회·결사의 자유를 수호하기로 선서했다”며 평화 시위 지지 입장도 밝혔다. 지난 1일 세인트존스 교회 앞에서 벌어진 트럼프 대통령의 ‘성경책 인증샷’ 행사에 동행한 것에 대해서도 해명했다. 행사를 위해 비밀경호국과 경찰이 백악관 앞 평화적인 시위대를 최루탄 등으로 밀어낸 것에 대한 비판을 의식한 것이다. 그는 “대통령이 세인트존스 교회 등 피해 현장을 방문하는 것은 알고 있었지만 교회에 도착한 뒤 계획이 뭔지 몰랐다”고 했다. 



'시위진압에 군 동원' 트럼프에 반기 든 에스퍼 국방장관. 연합뉴스에스퍼 장관은 육군사관학교 동기생인 마이크 폼페이오 국무장관과 함께 트럼프 대통령의 의중을 살펴 그대로 따르는 ‘충성파’ ‘예스맨’으로 불려왔다. 이 때문에 에스퍼 장관이 트럼프 대통령의 발언에 분명하게 선을 그은 것은 이례적이라고 미국 언론은 지적했다. CNN은 “에스퍼 장관의 낙마 시기가 빨라질 수 있다”고 했다. 케일리 매커내니 백악관 대변인은 브리핑에서 관련 질문을 받고 “현재까지 에스퍼 장관은 여전히 장관”이라고만 했다. 언제든 교체가 가능하다는 뜻으로도 들린다. 다만 에스퍼 장관은 브리핑 이후 워싱턴에 배치됐던 약 200명의 82공수부대원들을 노스캐롤라이나 포트브래그 기지로 복귀시키라고 명령했으나, 이 방침을 번복했다고 AP통신이 전했다.매티스 전 장관은 이날 시사지 애틀랜틱에 발표한 성명에서 “도널드 트럼프는 미국인을 통합하려 노력하지 않고, 심지어 그렇게 하는 척도 하지 않는 내 생애 최초의 대통령”이라며 “그는 우리를 갈라놓기 위해 노력한다. 우리는 3년에 걸친 이런 의도적인 시도의 결과를 보고 있으며, 성숙한 리더십이 없는 3년의 결과를 보고 있다”고 했다. 매티스 전 장관은 트럼프 대통령의 시리아 주둔 미군 철수에 반발해 2018년 말 물러났다.이에 대해 트럼프 대통령은 트위터를 통해 “매티스는 세계에서 가장 과대평가된 장군” “매티스는 미친 개”라며 “내가 그에게 사직서를 쓰라고 한 것을 매우 기쁘게 생각한다”고 반박했다. 다만 트럼프 대통령은 이날 공개된 보수 성향 인터넷 매체 인터뷰에서 시위 진압에 군 병력을 동원하는 문제를 두고 “상황에 달려 있다. 반드시 그럴 필요는 없다”고 했다. 방화·약탈 등 폭력 시위가 줄어들고, 군 동원에 대한 비판이 커지자 강경 기조를 다수 누그러뜨린 것으로 보인다.워싱턴 | 김재중 특파원 hermes@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지
",2020.06.04,12,402,0.029850746268656716,5,14.679231,2.072686,장관/ 에스/ 푸다
뉴스1,기상악화로 연기했던 육해공 해상사격 훈련 다음주 재개,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=421&aid=0004678081,"
'북한 눈치보기' 비판 일어…훈련 내용 비공개 방침


원본보기

지난 2017년 강원 고성에서 진행된 합동 해상사격훈련에서 다연장로켓 천무 실사격 훈련이 이뤄지고 있다. © News1 고재교 기자(서울=뉴스1) 이원준 기자 = 군은 지난달 기상상황을 이유로 연기했던 육·해·공군 합동 해상사격 훈련을 다음주 실시한다.4일 군 소식통에 따르면 군 당국은 오는 11일에 경북 울진 죽변 해안에서 해상사격 훈련을 하기로 했다. 육군, 해군, 공군 전력이 참여하는 이번 훈련은 지난달 19일 진행할 예정이었다가 연기됐다. 당시 국방부는 훈련 일정을 연기한 사유로 기상악화를 들었다. 훈련 당일부터 경북 지역에 비가 내릴 것으로 예보됐다는 것이다. 이를 두고 '북한 눈치보기'가 아니냐는 비판도 제기됐다. 이 훈련에 앞서 군산 해상에서 이뤄진 우리 군의 서북도 합동방어훈련에 대해 북한이 9·19 군사합의 위반이라며 강하게 반발했기 때문이다.하지만 훈련이 예정됐던 당일 울진 일대에 비가 내리고 풍랑주의보도 발효되는 등 실제로 기상상황이 좋지 않았다. 이번 해상사격 훈련에는 육군의 다연장로켓 천무와 아파치헬기, 공군의 FA-50 경공격기 등이 참가할 예정으로 알려졌다. 동해상에서 북한의 도발 상황을 가정하고 도발 원점을 타격하는 내용으로 구성된다.군은 동해·속초 이북 수역에서 포사격 및 해상 기동훈련을 금지한 '9·19 군사합의'에 따라 강원도 고성에서 실시해 온 합동 해상사격 훈련을 올해는 울진에서 실시한다.하지만 군은 이번 훈련내용을 공개하지 않을 방침이다.여전히 '북한 눈치보기'라는 비판이 나올 것으로 보인다. 국방부 관계자는 ""자세한 내용은 확인해 줄 수 없다""고 밝혔다.wonjun44@news1.kr▶ 네이버 메인에서 [뉴스1] 구독하기!▶  뉴스1 11기 수습기자 모집© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지
		",2020.06.04,-21,198,-0.10606060606060606,4,14.678552,-3.7486582,훈련/ 유해/ 발굴
세계일보,육해공군 합동 해상사격훈련 다음 주 실시,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=022&aid=0003471928,"
			기상악화로 연기됐던 육해공군 합동 해상사격훈련이 다음 주 시행된다.   4일 군 소식통에 따르면 군은 11일 경북 울진 죽변 해안에서 육해공군 전력이 참가한 해상사격훈련을 실시한다.   당초 지난달 19일 같은 장소에서 해상사격훈련을 시행하려고 했지만, 기상악화를 이유로 연기했다.   일부에서 북한의 반발을 의식해 훈련을 연기했다는 의혹을 제기했지만, 실제 기상이 훈련을 시행하기 적절하지 않았던 것으로 확인됐다. 지난달 19일 사격훈련 해역에는 풍랑주의보가 내려졌고, 파고도 4ｍ 이상이어서 어선 출입 통제를 위한 고속정 출동도 어려웠던 것으로 전해졌다.   


원본보기

   2017년 7월 6일 동해상에서 실시된 해·공군 합동 실탄사격훈련에서 해군 구축함 양만춘함(3200t급)이 쏜 하푼 대함미사일이 목표물을 향해 날아가고 있다. 해군 제공    훈련에서 육군은 신형 다연장로켓(MLRS) ‘천무’로 해상 표적함을 사격한다. 최대 사거리가 80㎞인 천무는 자동화된 사격 통제체계로 60초 안에 12개 표적에 로켓탄 12발을 쏠 수 있다.   육군 공격헬기인 ‘아파치 가디언’(AH-64E)도 훈련에 참가한다.   해군은 하푼 미사일 등을 표적함에 발사하고, 공군은 경공격기에서 공대지 미사일을 발사할 것으로 예상된다.   군은 군사분계선(MDL)에서 40㎞ 이내 지역 포 사격을 금지한 9·19 남북 군사합의 준수를 위해 경북에서 훈련을 시행하기로 했다.   박병진 기자 worldpk@segye.comⓒ 세상을 보는 눈, 세계일보
",2020.06.04,-13,144,-0.09027777777777778,4,15.031184,-4.0007167,훈련/ 유해/ 발굴
포모스,"[인터뷰]""모던 워페어 '워존'은 배틀로얄의 공간을 새롭게 탄생시킨 게임""",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=236&aid=0000202718,"



원본보기

'콜 오브 듀티: 모던 워페어'의 배틀로얄 콘텐츠 '워존'이  전 세계 유저 5000만 명을 확보하며 차세대 배틀로얄 게임으로 인기를 얻고 있다.본편을 구매하지 않아도 무료로 즐길 수 있는 '워존'은 기존 배틀로얄 장르가 주는 재미를 충실히 재현하면서도 제한 시간 30분 동안 먼저 100만 달러를 모으는 '약탈 모드'와 1번 죽어도 다시 한번 복귀할 수 있는 기회를 제공하는 '굴라그 모드' 등 신선한 시스템을 담은 것이 특징이다.또, 지난 4월에는 대한민국의 특수부대인 육군 특전사 제 707 특수임무대에서 영감을 받아 제작된 오퍼레이터 스킨이 추가된 바 있다.촉박한 일정에서도 '워존'을 제작한 테일러 쿠로사키 내러티브 디렉터는 ""'모던 워페어'는 군인이 되는 환상을 충족시키는 게임이다""며 ""앞으로도 게임을 사랑해주신다면 콘텐츠를 통해 보답하겠다""고 말했다.다음은 게임을 제작한 테일러 쿠로사키 내러티브 디렉터 및  조 세콧 멀티플레이어 디자인 디렉터, 제프리 스미스 멀티플레이어 디자인 디렉터, 잭 오하라 게임 디렉터와의 질의응답이다.


원본보기

▲테일러 쿠로사키 내러티브 디렉터Q. '콜 오브 듀티:모던 워페어' 및 워존의 출시 후 성과에 대해 어떻게 평가하나?테일러 쿠로사키='모던 워페어'와 '워존' 모두 상상 이상의 인기를 끌었다. 이들 게임은 모두 내 커리어에서 가장 규모가 큰 타이틀인데, 겨우 몇 달의 간격을 두고 연속으로 출시한다는 것은 그야말로 말도 안 되는 일이었다. 개발자라면 누구나 알고 있듯이 게임을 만드는 일은 정말 힘든 것이며 게임이 성공하지 못하면 그만큼 더 힘들어진다. 그래서 이번 성공은 정말 큰 영광이자 겸허한 마음으로 감사하게 되는 경험이기도 하다. 이 자리를 빌려 우리 게임을 열정적으로 플레이하고 사랑해 주시는 한국의 많은 플레이어에게 진심 어린 감사 인사를 전하고 싶다.Q. '워존'은 베르단스크에서 적군과 아군을 구별하기 어려운 혼란스러운 가운데 분대 사이의 전투가 벌어진다는 설정이다. '워존'의 설정이 차기작 스토리에도 반영되나테일러 쿠로사키='워존'의 이야기는 '모던 워페어'의 이야기에서 그대로 이어진다. 두 게임 모두 동일한 세계를 배경으로 하며 같은 캐릭터도 여럿 등장한다. 이 이야기는 향후 우리 프로젝트에서도 계속될 것이다. '워존'은 '모던 워페어'의 공식 세계관에 포함된다.Q. '워존'의 차별화된 콘텐츠 기획 의도에 관해 설명해 달라조 세콧&제프리 스미스=무엇보다도 배틀 로얄의 공간을 새롭게 탄생시키고 싶었다. 경기 중에 숨어서 적이 오기를 기다리거나, 전리품만 챙기고 있다는 느낌이 들지 않도록 다양한 선택지를 제공하는 것이 목표였다. 계약과 매치 내 현금/경제 시스템이 바로 그 역할을 담당한다.단순히 하나의 배틀 로얄 게임을 만드는 것이 아니라, 베르단스크의 잠재력을 최대로 끌어내고 싶었다. 그래서 약탈 모드를 추가했다. 굴라그는 플레이어들이 자신의 손으로 두 번째 기회를 쟁취해낼 수 있도록 만든 시스템이다. 게임을 하다 보면 잘 풀리지 않거나, 총을 찾지 못하거나, 언덕에 숨어 있는 저격수를 못 본 채 지나쳐 사망할 수도 있다. 굴라그에서 공정한 싸움을 통해 실력을 증명하면 두 번째 기회를 얻을 수 있고, 승리 시 전장으로 돌아갈 수 있다.


원본보기

Q. 플레이어의 위치를 감추는 냉혈-유령 조합은 '워존'에서도 필수로 여겨진다조 세콧&제프리 스미스=개발팀은 배틀 로얄뿐 아니라 멀티플레이 전체의 무장 아이템 성능을항상 검토하고 있다. 너무 강력한 아이템은 약화하거나, 상대적으로 약한 아이템을 강화하기도 한다. 최근에는 사주 경계의 방향성을 높여 위력을 더하고 보다 매력적으로 만들기 위해 강화했다. 냉혈과 고스트 역시 검토 중이지만, 치열한 경쟁 요소를 즐기는 플레이어들을 위해 무장 투하의 장점을 유지하려 한다. 열화상 조준경과 심박동 감지기는 둘 다 매우 강력한 장비이다. 세심한 균형이 필요하다고 할 수 있다.Q. 워존에서 무장 투하 표시기 가격이 지속해서 올랐는데 배경이 무엇인가?조 세콧&제프리 스미스=내부 테스트 당시에는 무장 투하가 플레이어들에게 별다른 관심을 끌지 못했다. 무장 투하에 원하는 무장이 없는 경우가 많기 때문이었다. 그러나 실제로 게임에 추가되자 상황이 크게 바뀌었다. 또한, 무장 투하에 쓸 현금이 모이자마자 사용하는 일도 많았다. 요약하자면 무장 투하를 구매하는 시기가 너무 일렀고, 전리품 획득과 계약 수행에 더 많은 시간을 투자하게 만들고 싶었다. 따라서 무장 투하 구매 비용을 인상했다. 각 모드에 따라 무장 투하 비용이 다르면 혼란을 가져올 수 있음으로 모든 모드에서 비용을 일정하게 유지하려 노력 중이다.Q. '워존'의 향후 업데이트의 방향성에 있다면?조 세콧&제프리 스미스=새로운 콘텐츠를 자주 출시해 지루할 틈 없이 늘 신선함을 제공하고자 하며 이를 위해 지속적인 내부 실험을 진행하고 있다. 특히 베르단스크는 더욱 신경을 쓰고 있다. 맵이 상당히 넓고, 큰 잠재력을 가지고 있기 때문이다! 앞으로도 멋진 업데이트를 준비 중이니 기대해 주셨으면 한다.Q. 시즌 3과 함께 캠페인에서 희생한 것으로 알려졌던 알렉스가 시즌 3에서 돌아왔다테일러 쿠로사키=우리가 캠페인에서 마지막으로 본 알렉스는, 임무가 성공할 수 있다면 자기 목숨을 바치겠다고 했었다. 그 극적인 임무가 성공으로 끝났다는 건 우리 모두 잘 알고 있으며, 알렉스 또한 임무를 완수하고도 살아 돌아올 수 있었던 것 같다. 앞으로의 이야기가 진행되면서 알렉스도 계속 등장할 것이다.


원본보기

Q. 시즌 3에서는 대한민국 특수부대도 추가됐다. 앞으로 한국 플레이어들을 위한 업데이트 요소를 더 기대할 수 있을까?테일러 쿠로사키='모던 워페어'는 군인이 되는 환상을 충족시키는 게임이다. 우리는 모든 플레이어가 공감할 수 있는 캐릭터로 플레이할 수 있기를 바란다. 대한민국 특수부대는 내게도 아주 매력적인 환상이라, 나도 종종 그 스킨으로 플레이하곤 한다. 플레이어들이 많은 사랑을 보내 준다면, 앞으로도 계속해서 다양한 캐릭터를 선보일 예정이다.Q. 최근 게임 내 핵/부정행위에 대해 추가 계획이 있다면?잭 오하라=문제 해결을 위해 24시간 쉬지 않고 노력하고 있다. 지금까지 몇 가지 대책을 시행했으며 해당 팀의 자원과 인원을 증가시키고 기술 프로그램을 강화하기도 했다. 게임에 다양한 보안 업데이트를 적용했으며 앞으로도 지속해서 적용해 나갈 예정이다. 추가로 게임 내 보안 프로토콜을 강화하는 동시에 다수의 외부 모니터링 및 처리 절차를 도입했다.지금은 자동 감지와 수동 검증을 병행하는 방식을 채택하고 있다. 또, 계정 악용을 방지하고 플레이어를 보호하는 부가 조치 차원에서, PC 플랫폼에서 신규 플레이어가 워존 무료 계정을 만들 경우, 2단계의 휴대전화 번호 등록 과정이 적용됐다. 부정 행위자는 우리 게임을 플레이할 수 없다.개발팀에서는 향후 예상되는 부정행위를 예측하고 대응하기 위해서는 보안 대책 또한 지속해서 진화해야 한다는 사실을 잘 알고 있으며 모든 유저가 즐겁고 공정한 게임을 경험할 수 있도록 최선을 다하고 있다.


원본보기

Q. 마지막으로 우리나라 팬들에게 전할 인사가 있다면?테일러 쿠로사키='모던 워페어'와 '워존'이 한국에서 큰 인기를 끌고 있어 진심으로 기쁘고 감사한 마음이다. 한국의 많은 플레이어들이 PC 게임을 즐긴다는 사실을 알고 있기 때문에, 게임을 개발할 때도 PC에서의 경험을 가장 중시했다. 앞으로도 기쁜 마음으로 PC 플레이어에 대한 지원을 계속할 것이며, 콘솔에서 플레이하는 친구들과도 함께 게임을 즐기시기를 바란다.조 세콧&제프리 스미스=우리 게임을 플레이해 주신 데 깊이 감사드리고 싶다. 최고의 '워존'을 만들기 위해 계속해서 최선을 다할 것이다.최종봉 기자 konako12@fomos.co.kr[게임&게이머, 문화를 전합니다. 포모스게임│무단 전재 및 재배포 금지]포모스
		",2020.06.04,83,575,0.1443478260869565,1,13.617958,-0.60998744,주/ 시위/ 경찰
중앙일보,기상 악화로 연기했던 육해공 해상사격 훈련 다음주 시행,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=025&aid=0003006647,"
			군 당국이 지난달 기상악화로 연기했던 육ㆍ해ㆍ공군 합동 해상ㆍ 사격훈련을 오는 11일 경북 울진 인근 해안에서 시행키로 했다. 군 관계자는 4일 “지난달 19일 진행하려다 훈련을 앞두고 해상의 기상이 좋지 않아 연기했던 해상 사격 훈련을 다음주 실시할 예정”이라며 “오는 11일 경북 울진 죽변 해안에서 육군과 해군, 공군 전력이 참가할 것”이라고 말했다. 군은 당초 지난 6일 서해안에 이어 동해안에서 훈련을 실시하려다 연기했다.       


원본보기

육군의 아파치 헬기가 가상 적기를 향해 스팅어 미사일을 발사하고 있다. [사진 육군]           훈련 연기를 결정한 시점이 지난달 6일 진행한 해ㆍ공군 합동 훈련에 북한이 반발(8일)하고 청와대가 국방부와 각군을 대상으로 회의를 소집한 뒤여서 북한을 의식한 ‘조치’가 아니냐는 지적이 나왔다. 하지만 실제 당일 해상에 풍랑주의보가 내려지는 등 기상이 좋지 않아 이런 의혹은 사그라 들었다.        이번 훈련은 지난달 예정했던 훈련과 비슷한 규모로 시행될 전망이다. 육군은 신형 다연장로켓(MLRS) ‘천무’로 해상에 설치한 표적을 사격한다. 최대 사거리가 80㎞인 천무는 자동화된 사격 통제체계로 60초 안에 12개 표적에 로켓탄 12발을 쏠 수 있다. 230mm급 유도탄과 무유도탄을 발사하고, 미군 MLRS탄 발사도 가능하다. 육군의 공격헬기인 ‘아파치 가디언’(AH-64E)도 훈련에 참가한다. 다만, 아파치 공대지미사일 ‘헬파이어’의 실사격은 이뤄지지 않을 것으로 보인다.      해군은 함대함 하푼 미사일 등을 표적함에 발사하고, 공군은 경공격기에서 공대지 미사일을 발사할 것으로 예상된다. 군은 군사분계선(MDL)에서 40㎞ 이내 지역 포 사격을 금지한 9ㆍ19 남북 군사합의 준수를 위해 경북에서 훈련을 시행하기로 했다.      하지만 북한 인민무력성이 지난달 6일 훈련에 반발하는 성명을 낸 데 이어, 4일엔 김정은 북한 국무위원장의 여동생인 김여정 노동당 제1부부장이 탈북자들의 전단 살포(지난달 31일)를 비난하는 담화를 내고 군사합의서 파기를 위협하고 있는 상황이어서 북한 측의 반발이 예상된다. 이와 관련 군 관계자는 “이미 예정됐던 정기 훈련의 일환이고, 남북이 합의한 전방지역에서의 훈련도 아니다”고 말했다. 군은 훈련 내용을 공개하지 않을 예정이다.        이근평 기자 lee.keunpyung@joongang.co.kr   ▶ 그래서, 팩트가 뭐야? 궁금하면 '팩플'▶ 세상 쉬운 내 돈 관리 '그게머니'▶ 중앙일보 홈페이지 바로가기ⓒ중앙일보(https://joongang.co.kr), 무단 전재 및 재배포 금지
		",2020.06.04,-23,240,-0.09583333333333334,4,14.701941,-3.6068397,훈련/ 유해/ 발굴
MBN,"트럼프에 반기 들던 에스퍼, 경질설에 입장 바꿨나",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=057&aid=0001462585,"
			【 앵커멘트 】  이처럼 계속되는 시위에 어느 수위로 대응할지를 놓고, 미 정부 내에서도 잡음이 생기고 있습니다.   트럼프 대통령의 군 병력 동원 움직임에 국방장관이 반기를 들었는데, 경질설이 돌자 결국 입장을 바꿨습니다.   김희경 기자가 보도합니다.【 기자 】  마크 에스퍼 미 국방장관이 워싱턴 D.C. 인근에 배치한 병력 일부에 대해 원대 복귀 지시를 내렸다가 이를 번복한 사실이 알려졌습니다.   라이언 매카시 미 육군장관은 공수부대 병력 2백여 명을 노스캐롤라이나 기지로 돌려보내라는 지침을 받아 하달했는데, 몇 시간 뒤 에스퍼 장관이 이를 번복했다고 AP통신이 전했습니다.  에스퍼 장관은 백악관 회의와 국방부 내부 논의에 참석한 후 지침을 번복한 것으로 알려졌습니다.  이에 앞서 에스퍼 장관은 폭동진압법 발동에 반대한다는 입장을 분명히 밝혔습니다. ▶ 인터뷰 : 에스퍼 / 미 국방장관- ""병력 동원은 가장 시급하고 대단히 심각한 상황에서 최후의 수단으로만 해야 한다고 생각합니다. 지금은 그런 상황이 아닙니다.""  에스퍼 장관의 이같은 언급은 트럼프 대통령이 주 방위군을 동원해 시위를 진압하지 않으면 연방군으로 사태를 해결하겠다고 경고한 뒤 공개적으로 반박한 것이어서, '항명' 논란까지 일었습니다.   트럼프 대통령이 에스퍼 장관에 불만을 나타내고 백악관이 또 폭동진압법 발동 가능성을 거론함으로써 에스퍼 장관 경질설이 돌기도 했습니다. ▶ 인터뷰 : 매커내니 / 백악관 대변인- ""폭동진압법은 사용 가능한 도구입니다. 대통령만 가진 권한으로, 필요하다면 사용할 것입니다.""  현직 장관에 이어 전직 국방장관도 군 동원 가능성에 일침을 가했습니다.   제임스 매티스 전 장관은 ""이런 분열적 대통령은 처음""이라고 트럼프를 맹비난했고, 트럼프 대통령은 매티스를 향해 ""미친개""라며 분노를 표출했습니다.   MBN뉴스 김희경입니다.  영상편집 : 김혜영▶ 네이버 메인에서 MBN뉴스를 만나보세요!▶ MBN 무료 고화질 온에어 서비스 GO!▶ 김주하의 '이 한 장의 사진'< Copyright ⓒ MBN(www.mbn.co.kr) 무단전재 및 재배포 금지 >
		",2020.06.04,-3,209,-0.014354066985645933,5,15.299332,2.9684267,장관/ 에스/ 푸다
채널A,고무보트 못 잡는 레이더…태안 들어오는 밀입국자,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=449&aid=0000192763,"
 이 정도면 밀입국자들이 태안 지역을 집중 노린다고 봐도 될 것 같은데요.   레이더로 포착이 안 되는 건지, 왜 태안만 이렇게 무방비인지 강은아 기지가 취재했습니다.   [리포트] 해상 경계가 3번 연속 뚫리자 군과 경찰은 레이더에 작은 점만 잡혀도 현장으로 긴급 출동하고 있습니다.   [태안 마도 방파제 인근 주민]  ""하여튼 육군하고 경찰들이 아까 왔다 가셨어요. 저쪽으로. 요즘에 이상한 그런(고무보트) 게 들어온다고 그래서요.""   태안은 중국 산둥반도와 직선거리로 300km 밖에 떨어져 있지 않습니다.   우리 영해인 22km만 감시를 잘 피하면 한국으로 몰래 들어올 수 있는 최단코스인 겁니다.  코로나19로 한국과 중국 바닷길이 완전히 막힌 것도 태안 밀입국이 늘어난 이유로 꼽힙니다.   [인천항국제여객터미널 관계자]  ""인천에서 중국으로 가는 거는 다 중단됐어요. 코로나가 해결돼야지 (운행이) 가능할 것 같은데.""   하지만 해상 밀입국을 잡아내는 건 쉽지 않습니다.   해양경찰이 바다에서 감시를 하고 육군이 레이더로 지켜보고 있지만 작은 보트로 틈새를 비집고 들어오면 속수무책입니다.  군 관계자는 ""특히 고무보트는 레이더 반사 면적이 적어 포착이 어렵다""고 말합니다.  해군 특수부대가 고무보트로 침투하는 것도 이 때문입니다.   군과 경찰은 CCTV 등 감시 장비를 강화하겠다고 밝혔지만 예산 문제로 당장 개선되기는 어려울 전망입니다.   채널A 뉴스 강은아입니다.   euma@donga.com  영상취재 이락균  영상편집 이혜리▶ '채널A' LIVE 무료 보기▶ 네이버에서 '채널A' 구독하기▶[기사 보기][단독]사라진 렌터카 ‘벤츠’, 부산항 컨테이너서 발견꿈을 담는 캔버스 채널A  ⓒCHANNEL A(www.ichannela.com), 무단 전재 및 재배포 금지
		",2020.06.04,3,121,0.024793388429752067,1,13.279309,-0.9412672,주/ 시위/ 경찰
연합뉴스,'기상악화'로 연기됐던 육해공 해상사격훈련 다음주 시행,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0011656857,"
			11일 경북 울진 해안서 훈련…해상에 표적함 두고 사격


원본보기

천무 발사[연합뉴스 자료사진]    (서울=연합뉴스) 최평천 기자 = 기상 악화로 지난달 연기됐던 육해공군 합동 해상사격훈련이 다음 주 시행될 예정이다.    4일 군 소식통에 따르면 군은 11일 경북 울진 죽변 해안에서 육해공군 전력이 참가한 해상사격훈련을 한다.    군은 애초 지난달 19일 같은 장소에서 해상사격훈련을 시행하려고 했지만, 기상 악화를 이유로 훈련을 연기했다.    당시 일각에서 북한의 반발을 의식해 훈련을 연기했다는 의혹을 제기했지만, 실제 기상이 훈련을 시행하기 적절하지 않았던 것으로 확인됐다.    지난달 19일 사격훈련 해역에는 풍랑주의보가 내려졌고, 파고도 4ｍ 이상이어서 어선 출입 통제를 위한 고속정 출동도 어려웠던 것으로 전해졌다.    이번 훈련은 연기됐던 훈련과 비슷한 규모로 시행될 전망이다.    육군은 신형 다연장로켓(MLRS) '천무'로 해상 표적함을 사격한다. 최대 사거리가 80㎞인 천무는 자동화된 사격 통제체계로 60초 안에 12개 표적에 로켓탄 12발을 쏠 수 있다. 230mm급 유도탄과 무유도탄을 발사하고, 미군 MLRS탄 발사도 가능하다.    육군 공격헬기인 '아파치 가디언'(AH-64E)도 훈련에 참가한다. 다만, 아파치 공대지미사일 '헬파이어'의 실사격은 이뤄지지 않을 것으로 보인다.    해군은 하푼 미사일 등을 표적함에 발사하고, 공군은 경공격기에서 공대지 미사일을 발사할 것으로 예상된다.    군은 군사분계선(MDL)에서 40㎞ 이내 지역 포 사격을 금지한 9·19 남북 군사합의 준수를 위해 경북에서 훈련을 시행하기로 했다.    군은 9·19 군사합의에 따라 강원도 고성의 사격장에서 이뤄지는 사격 훈련을 사실상 중단한 상태다.    pc@yna.co.kr▶코로나19 속보는 네이버 연합뉴스에서 [구독 클릭]▶[팩트체크] 뜨거운 감자 '비동의 간음죄'▶제보하기
",2020.06.04,-14,198,-0.0707070707070707,4,14.942963,-4.0300913,훈련/ 유해/ 발굴
국민일보,[포토] 내일 65회 현충일… “순국열사 고귀한 희생 기억하겠습니다”,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=005&aid=0001328549,"



원본보기

현충일을 이틀 앞둔 4일 대전 유성구 국립대전현충원의 육군 일병 추금용씨 묘역에서 배우자 공손금씨와 딸 맹선씨가 고인을 추모하고 있다. 추씨는 6·25전쟁 중 부상당해 치료받다 1964년 숨졌다. 청와대는 문재인 대통령이 6일 대전현충원에서 열리는 제65회 현충일 추념식에 참석해 추념사를 한다고 밝혔다. 코로나19 상황을 고려해 장소를 국립서울현충원에서 대전으로 옮겼다. 대전=윤성호 기자▶ 네이버에서 국민일보를 구독하세요(클릭)▶ 국민일보 홈페이지 바로가기GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 재배포금지
		",2020.06.04,-2,49,-0.04081632653061224,3,11.436362,-1.3166971,영상/ 들/ 이다
한국경제,"서욱 육참총장, 한경 에 감사패",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=015&aid=0004354270,"



원본보기

서욱 육군참모총장은 4일 육군 장병 창업역량 강화를 위한 한국경제신문사의 노력에 감사를 전했다. 한경은 2019년 육군창업경진대회를 두 차례 열었다. 안순옥 대령(가운데)이 권영설 한경 사업국장(맨 오른쪽)에게 감사패를 주고 있다.허문찬 기자 sweat@hankyung.com▶ 네이버에서 한국경제 뉴스를 받아보세요▶ 한경닷컴 바로가기  ▶ 모바일한경 구독신청 ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지
		",2020.06.04,3,45,0.06666666666666667,5,14.45461,1.5238688,장관/ 에스/ 푸다
