,press,title,url,content,like,dislike,time,re_reply
0,아시아경제,"황의조, 4주 기초군사훈련 마치고 4일 퇴소…훈련 성적은 비공개",http://sports.news.naver.com/wfootball/news/read.nhn?oid=277&aid=0004692336,수많은 선수들을 군면제시킨 장본인.... 훈련은 조용히 받고 오네..... 영웅이다.,88,5,3일 전,3
1,아시아경제,"황의조, 4주 기초군사훈련 마치고 4일 퇴소…훈련 성적은 비공개",http://sports.news.naver.com/wfootball/news/read.nhn?oid=277&aid=0004692336,손흥민은 이승우 황의조한테 잘해야됨ㅋㅋ,24,9,3일 전,1
2,아시아경제,"황의조, 4주 기초군사훈련 마치고 4일 퇴소…훈련 성적은 비공개",http://sports.news.naver.com/wfootball/news/read.nhn?oid=277&aid=0004692336,자대배치 이후면 몰라도 훈련소면 피지컬만 좋아도 폐급안됨 공익이랑 같이하는데 황의조가 훈련을 못따라 가겠나,14,3,3일 전,0
3,아시아경제,"황의조, 4주 기초군사훈련 마치고 4일 퇴소…훈련 성적은 비공개",http://sports.news.naver.com/wfootball/news/read.nhn?oid=277&aid=0004692336,황의조만 아니었어도 K리그에서 손흥민 볼 수 잇었는데,14,11,3일 전,3
4,아시아경제,"황의조, 4주 기초군사훈련 마치고 4일 퇴소…훈련 성적은 비공개",http://sports.news.naver.com/wfootball/news/read.nhn?oid=277&aid=0004692336,의조 고생했다 보르도화이팅,13,1,3일 전,0
5,아시아경제,"황의조, 4주 기초군사훈련 마치고 4일 퇴소…훈련 성적은 비공개",http://sports.news.naver.com/wfootball/news/read.nhn?oid=277&aid=0004692336,훈련병이라 그런지 귀엽네,6,1,3일 전,0
6,아시아경제,"황의조, 4주 기초군사훈련 마치고 4일 퇴소…훈련 성적은 비공개",http://sports.news.naver.com/wfootball/news/read.nhn?oid=277&aid=0004692336,"그저... 대단하다, 폐급!",3,12,3일 전,0
7,아시아경제,"황의조, 4주 기초군사훈련 마치고 4일 퇴소…훈련 성적은 비공개",http://sports.news.naver.com/wfootball/news/read.nhn?oid=277&aid=0004692336,사격 호흡불량임 훈련소동기임,2,8,3일 전,1
8,아시아경제,"황의조, 4주 기초군사훈련 마치고 4일 퇴소…훈련 성적은 비공개",http://sports.news.naver.com/wfootball/news/read.nhn?oid=277&aid=0004692336,왜 비공개 일까? ㅎㅎ,1,2,3일 전,1
9,아시아경제,"황의조, 4주 기초군사훈련 마치고 4일 퇴소…훈련 성적은 비공개",http://sports.news.naver.com/wfootball/news/read.nhn?oid=277&aid=0004692336,소농민 군 면제 시켜주고 니는 왜 4주니? 그것도 그냥 일반 땅개로? 짠허다~,0,1,3일 전,0
